SC,sc:0-1200,sc:1200-1400,sc:1400-1600,sc:1600-1800,sc:1800-2000,sc:2000-3000,sc:3000-3500,sc:3500-8000,sc:bimodal,sc:mean,sc:std
sp10.wav,0.6024096385542169,0.060240963855421686,0.030120481927710843,0.05421686746987952,0.030120481927710843,0.06626506024096386,0.030120481927710843,0.12650602409638553,0.13623280650580244,1214.480551956641,1524.0361331825518
sp11.wav,0.25903614457831325,0.12650602409638553,0.12048192771084337,0.1144578313253012,0.05421686746987952,0.14457831325301204,0.024096385542168676,0.1566265060240964,0.11980506317767482,1200.418382914902,1998.9483581308664
sp12.wav,0.1746987951807229,0.12048192771084337,0.1144578313253012,0.10240963855421686,0.0963855421686747,0.15060240963855423,0.04216867469879518,0.19879518072289157,0.11542313423871885,1237.551842282709,2218.206979613168
sp13.wav,0.7108433734939759,0.030120481927710843,0.04216867469879518,0.04819277108433735,0.04216867469879518,0.024096385542168676,0.012048192771084338,0.09036144578313253,0.1272168922356683,1030.7352940984756,1241.2000774382166
sp14.wav,0.3674698795180723,0.12650602409638553,0.13253012048192772,0.13253012048192772,0.030120481927710843,0.1686746987951807,0.018072289156626505,0.024096385542168676,0.06571340233237419,652.6131697702292,1545.6416374414807
sp15.wav,0.30120481927710846,0.14457831325301204,0.13855421686746988,0.024096385542168676,0.06626506024096386,0.1746987951807229,0.04216867469879518,0.10843373493975904,0.11167540930975126,924.6911187451783,1844.631480122133
sp16.wav,0.0,0.018072289156626505,0.018072289156626505,0.012048192771084338,0.04819277108433735,0.45180722891566266,0.3373493975903614,0.1144578313253012,0.021205935119080196,645.2529567377572,2899.877950949336
sp17.wav,0.0,0.0,0.0,0.012048192771084338,0.03614457831325301,0.6144578313253012,0.2469879518072289,0.09036144578313253,0.019172528880246363,495.5642082474911,2862.916783614889
sp18.wav,0.7951807228915663,0.060240963855421686,0.03614457831325301,0.03614457831325301,0.0,0.03614457831325301,0.03614457831325301,0.0,0.038010003644337556,559.1057546502792,1091.4915260166797
sp19.wav,0.37349397590361444,0.14457831325301204,0.10240963855421686,0.10843373493975904,0.05421686746987952,0.0783132530120482,0.030120481927710843,0.10843373493975904,0.11741384706182968,1034.4595119938695,1706.6003579410162
sp20.wav,0.7831325301204819,0.024096385542168676,0.04216867469879518,0.030120481927710843,0.018072289156626505,0.10240963855421686,0.0,0.0,0.03787741335889694,597.1333662237871,927.8755627394842
