Chroma,c:0,c:1,c:2,c:3,c:4,c:5,c:6,c:7,c:8,c:9,c:10,c:11,c:tonemax,c:tonemax2,c:tonemax3,c:tonemax4
mu19.wav,0.1984126984126984,0.0,0.0,0.0,0.373015873015873,0.0,0.07142857142857142,0.03968253968253968,0.0,0.1746031746031746,0.015873015873015872,0.12698412698412698,0.373015873015873,0.5714285714285714,0.746031746031746,0.873015873015873
mu20.wav,0.0873015873015873,0.0,0.0,0.0,0.12698412698412698,0.007936507936507936,0.09523809523809523,0.007936507936507936,0.05555555555555555,0.3968253968253968,0.015873015873015872,0.20634920634920634,0.3968253968253968,0.6031746031746031,0.7301587301587301,0.8253968253968254
sp1.wav,0.007936507936507936,0.047619047619047616,0.023809523809523808,0.015873015873015872,0.03968253968253968,0.06349206349206349,0.1111111111111111,0.15079365079365079,0.2857142857142857,0.07142857142857142,0.11904761904761904,0.06349206349206349,0.2857142857142857,0.4365079365079365,0.5555555555555556,0.6666666666666667
sp2.wav,0.06349206349206349,0.07936507936507936,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.0873015873015873,0.07142857142857142,0.1746031746031746,0.1111111111111111,0.10317460317460317,0.09523809523809523,0.1746031746031746,0.1746031746031746,0.3492063492063492,0.4603174603174603,0.5634920634920635
sp3.wav,0.07936507936507936,0.031746031746031744,0.11904761904761904,0.11904761904761904,0.07142857142857142,0.05555555555555555,0.07142857142857142,0.1111111111111111,0.10317460317460317,0.07936507936507936,0.12698412698412698,0.031746031746031744,0.12698412698412698,0.24603174603174602,0.36507936507936506,0.47619047619047616
sp4.wav,0.0873015873015873,0.1111111111111111,0.1349206349206349,0.0873015873015873,0.07142857142857142,0.023809523809523808,0.03968253968253968,0.03968253968253968,0.047619047619047616,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.4206349206349206,0.5317460317460316
sp5.wav,0.047619047619047616,0.05555555555555555,0.14285714285714285,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.12698412698412698,0.15873015873015872,0.12698412698412698,0.05555555555555555,0.10317460317460317,0.0873015873015873,0.15873015873015872,0.30158730158730157,0.42857142857142855,0.5555555555555556
sp6.wav,0.18253968253968253,0.047619047619047616,0.007936507936507936,0.07936507936507936,0.11904761904761904,0.031746031746031744,0.0,0.023809523809523808,0.0873015873015873,0.15079365079365079,0.07142857142857142,0.1984126984126984,0.1984126984126984,0.38095238095238093,0.5317460317460317,0.6507936507936508
sp7.wav,0.015873015873015872,0.03968253968253968,0.06349206349206349,0.1349206349206349,0.1746031746031746,0.07936507936507936,0.07142857142857142,0.12698412698412698,0.0873015873015873,0.07936507936507936,0.07142857142857142,0.05555555555555555,0.1746031746031746,0.30952380952380953,0.4365079365079365,0.5238095238095238
sp8.wav,0.1111111111111111,0.031746031746031744,0.015873015873015872,0.023809523809523808,0.0873015873015873,0.07936507936507936,0.03968253968253968,0.047619047619047616,0.15079365079365079,0.15873015873015872,0.11904761904761904,0.1349206349206349,0.15873015873015872,0.30952380952380953,0.4444444444444444,0.5634920634920635
sp9.wav,0.1111111111111111,0.21428571428571427,0.07936507936507936,0.07936507936507936,0.047619047619047616,0.015873015873015872,0.023809523809523808,0.07142857142857142,0.031746031746031744,0.07936507936507936,0.10317460317460317,0.14285714285714285,0.21428571428571427,0.3571428571428571,0.4682539682539682,0.5714285714285714
sp10.wav,0.12698412698412698,0.047619047619047616,0.06349206349206349,0.03968253968253968,0.023809523809523808,0.047619047619047616,0.031746031746031744,0.023809523809523808,0.03968253968253968,0.1349206349206349,0.29365079365079366,0.12698412698412698,0.29365079365079366,0.4285714285714286,0.5555555555555556,0.6825396825396826
sp11.wav,0.05555555555555555,0.09523809523809523,0.03968253968253968,0.06349206349206349,0.11904761904761904,0.023809523809523808,0.11904761904761904,0.10317460317460317,0.16666666666666666,0.07936507936507936,0.03968253968253968,0.09523809523809523,0.16666666666666666,0.2857142857142857,0.40476190476190477,0.5079365079365079
sp12.wav,0.015873015873015872,0.031746031746031744,0.06349206349206349,0.03968253968253968,0.03968253968253968,0.1746031746031746,0.10317460317460317,0.15079365079365079,0.1349206349206349,0.05555555555555555,0.1111111111111111,0.07936507936507936,0.1746031746031746,0.32539682539682535,0.46031746031746024,0.5714285714285714
sp13.wav,0.14285714285714285,0.09523809523809523,0.10317460317460317,0.05555555555555555,0.023809523809523808,0.031746031746031744,0.031746031746031744,0.07142857142857142,0.06349206349206349,0.031746031746031744,0.18253968253968253,0.16666666666666666,0.18253968253968253,0.3492063492063492,0.49206349206349204,0.5952380952380952
sp14.wav,0.05555555555555555,0.06349206349206349,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.015873015873015872,0.023809523809523808,0.12698412698412698,0.09523809523809523,0.20634920634920634,0.23015873015873015,0.06349206349206349,0.23015873015873015,0.4365079365079365,0.5634920634920635,0.6587301587301587
sp15.wav,0.07142857142857142,0.06349206349206349,0.06349206349206349,0.047619047619047616,0.05555555555555555,0.03968253968253968,0.047619047619047616,0.15873015873015872,0.09523809523809523,0.1984126984126984,0.11904761904761904,0.03968253968253968,0.1984126984126984,0.3571428571428571,0.47619047619047616,0.5714285714285714
sp16.wav,0.07936507936507936,0.1111111111111111,0.0873015873015873,0.07936507936507936,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.007936507936507936,0.1349206349206349,0.14285714285714285,0.1746031746031746,0.0873015873015873,0.1746031746031746,0.31746031746031744,0.45238095238095233,0.5634920634920635
sp17.wav,0.07936507936507936,0.07936507936507936,0.06349206349206349,0.0873015873015873,0.15079365079365079,0.10317460317460317,0.031746031746031744,0.06349206349206349,0.15873015873015872,0.06349206349206349,0.05555555555555555,0.06349206349206349,0.15873015873015872,0.30952380952380953,0.4126984126984127,0.5
sp18.wav,0.07936507936507936,0.015873015873015872,0.03968253968253968,0.03968253968253968,0.015873015873015872,0.05555555555555555,0.03968253968253968,0.29365079365079366,0.15873015873015872,0.10317460317460317,0.09523809523809523,0.06349206349206349,0.29365079365079366,0.4523809523809524,0.5555555555555556,0.6507936507936508
sp19.wav,0.07142857142857142,0.015873015873015872,0.031746031746031744,0.12698412698412698,0.0,0.015873015873015872,0.09523809523809523,0.23809523809523808,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.23809523809523808,0.36507936507936506,0.47619047619047616,0.5873015873015872
sp20.wav,0.047619047619047616,0.07142857142857142,0.023809523809523808,0.031746031746031744,0.10317460317460317,0.07142857142857142,0.07936507936507936,0.09523809523809523,0.047619047619047616,0.20634920634920634,0.09523809523809523,0.12698412698412698,0.20634920634920634,0.3333333333333333,0.4365079365079365,0.5317460317460317
