,e:0-4,e:4-8,e:8-16,e:16-32,e:32-64,e:64-128,e:128-256,e:256-512,e:512-2048,e:std,e:var,e:max,e:mean,z:0.000-0.065,z:0.065-0.090,z:0.090-0.100,z:0.100-0.115,z:0.115-0.130,z:0.130-0.140,z:0.140-0.165,z:0.165-100.000,z:bimodal,z:std,z:var,sc:0-1200,sc:1200-1400,sc:1400-1600,sc:1600-1800,sc:1800-2000,sc:2000-3000,sc:3000-3500,sc:3500-8000,sc:bimodal,sc:mean,sc:std,c:0,c:1,c:2,c:3,c:4,c:5,c:6,c:7,c:8,c:9,c:10,c:11,c:tonemax,c:tonemax2,c:tonemax3,c:tonemax4
mu11.wav,0.20454545454545453,0.9655172413793103,0.8484848484848484,0.2258064516129032,0.05494505494505497,0.3897058823529411,0.2033898305084746,0.0,0.0,0.15471186259835457,0.04010361341708164,0.12401483436681629,0.15104540371913727,0.8028169014084507,0.5396825396825398,0.07999999999999996,0.02564102564102566,0.018867924528301883,0.023255813953488372,0.02380952380952378,0.06299212598425197,0.5510615848900565,0.1749565852129237,0.05518550797705249,0.7272727272727273,0.3770491803278689,0.21052631578947367,0.037974683544303806,0.08163265306122452,0.04195804195804198,0.06779661016949153,0.02816901408450706,0.3673501621492853,0.3244073141887591,0.10710498050507805,0.4708097928436912,0.0,0.05723443223443225,1.0,0.0,0.37931839402427636,0.0,1.0,0.0,0.0,0.3243243243243243,0.0,0.31100258016955407,0.48842434306925864,0.7027027027027026,0.784711964549483
mu12.wav,1.0,0.37931034482758624,0.6363636363636362,0.16129032258064516,0.1318681318681319,0.11029411764705879,0.01694915254237289,0.0,0.0,0.0477339320450256,0.007898181045981514,0.06365754863102524,0.012772249333624835,0.0,0.015873015873015928,0.07999999999999996,0.051282051282051294,0.11320754716981132,0.06976744186046514,0.49999999999999994,1.0,0.12104782506116146,0.4187402563680005,0.21678283335247875,0.006493506493506496,0.01639344262295081,0.01754385964912286,0.07594936708860761,0.10204081632653061,0.6853146853146852,0.4915254237288136,0.3521126760563381,0.18856201800048894,0.35466146996483094,0.7518723795557378,0.0,0.009726112667289136,0.05723443223443225,0.07407407407407407,0.04255319148936171,0.05835667600373484,0.3450655624568668,0.0,0.697278911564626,0.21621621621621617,0.10810810810810811,0.5625,0.3340398083302617,0.50063495164599,0.6756756756756755,0.8000984736582963
mu13.wav,0.034090909090909116,0.48275862068965514,0.9393939393939392,0.5806451612903225,0.47252747252747257,0.13235294117647053,0.1694915254237288,0.05000000000000001,0.0,0.18060645633098368,0.05091442329904224,0.2822808634602514,0.13271983572138146,0.5211267605633803,0.7301587301587302,0.7599999999999999,0.4871794871794872,0.037735849056603765,0.023255813953488372,0.02380952380952378,0.0,0.08941663977505021,0.07670177713656567,0.01794035663640428,0.3116883116883117,1.0,0.7543859649122807,0.13924050632911394,0.020408163265306145,0.013986013986014012,0.0,0.0,0.19619707738345799,0.020944015887810197,0.169261196987921,0.10169491525423728,0.00980392156862743,0.9999999999999999,0.0,0.0,0.0,0.08695652173913043,0.42195348837209296,0.0,0.28605405405405404,0.0,0.44100000000000006,0.41946185035016587,0.5199765556315328,0.6588108108108108,0.8138847858197933
mu14.wav,0.0,0.0,0.06060606060606061,0.5161290322580645,0.5714285714285714,0.3897058823529411,0.3220338983050848,0.0,0.0,0.1398409470655193,0.03442638467257597,0.18469298057858136,0.2244275903031792,1.0,0.23809523809523814,0.15999999999999998,0.02564102564102566,0.0,0.0,0.0,0.0,0.12758681132310618,0.04202523320273832,0.008620418908968835,0.42207792207792205,0.4426229508196722,0.3508771929824561,0.24050632911392403,0.38775510204081637,0.11188811188811187,0.0,0.0,0.21385868106293182,0.18969881625877738,0.20484568144946674,0.0,0.00980392156862743,0.038461538461538464,0.5973333333333334,0.04289361702127659,0.17647058823529413,0.6086956521739131,0.02344186046511626,0.32800000000000007,0.4222702702702702,0.05448648648648649,0.020999999999999908,0.3033542204201991,0.5199765556315329,0.6588108108108109,0.7828655834564257
mu15.wav,0.0,0.103448275862069,0.0,0.016129032258064502,0.02197802197802201,1.0,0.2711864406779661,0.0,0.0,0.043152469303202656,0.006966860659693305,0.10768681334707997,0.3392412106013192,0.19718309859154928,0.2857142857142857,0.39999999999999997,0.8461538461538465,0.4528301886792453,0.2093023255813954,0.5952380952380953,0.11811023622047248,0.47940865095388924,0.13384751606175235,0.03765317346061911,0.16233766233766234,0.39344262295081966,0.8771929824561404,0.6329113924050633,0.26530612244897966,0.027972027972027996,0.0,0.0,0.15825630223607742,0.04232680440399261,0.2555166676741974,0.10088781275221952,0.01945222533457827,0.5532661782661782,0.037037037037037035,0.0,0.0,0.1006441223832528,0.41860465116279066,0.030990173847316727,0.581081081081081,0.08108108108108109,0.3125,0.31100258016955407,0.50063495164599,0.5945945945945944,0.6923929098966025
mu16.wav,0.0,0.0,0.03030303030303033,0.3709677419354838,0.5714285714285714,0.49999999999999994,0.23728813559322032,0.0,0.0,0.08123296528701589,0.015825819149698175,0.10009163068719255,0.21700961993102763,0.049295774647887425,0.3015873015873016,0.27999999999999997,0.2820512820512821,0.2641509433962264,0.23255813953488377,1.0,0.40944881889763785,0.4117203078794018,0.13143026353992923,0.036709556374899366,0.012987012987012991,0.2786885245901639,0.42105263157894735,0.3670886075949367,1.0000000000000002,0.3146853146853146,0.0,0.0,0.026142360753636407,0.0983407449702352,0.38197735479788414,0.0,0.09726112667289137,0.0,0.6296296296296295,0.2978723404255319,0.0,0.47446514837819187,0.0,0.030990173847316727,0.027027027027027,0.0,1.0,0.36859565057132326,0.6105304288365733,0.7027027027027025,0.8000984736582963
mu17.wav,0.0,0.0,0.0,0.0,0.12087912087912087,0.6470588235294118,1.0,0.0,0.0,0.14108066009154416,0.03488485694059068,0.18116149698060174,0.39820966136241176,0.11267605633802819,0.8095238095238096,0.6799999999999999,0.8205128205128207,0.6037735849056605,0.25581395348837216,0.0714285714285714,0.0,0.0,0.043956031557331354,0.00908689428427531,0.03246753246753242,0.1311475409836066,0.31578947368421056,0.2784810126582279,0.4285714285714286,0.6013986013986012,0.10169491525423728,0.0,0.06733715229945336,0.2576902875741805,0.4997907330632533,0.0,0.2431528166822284,0.03815628815628816,0.5555555555555555,0.36170212765957444,0.08753501400560224,0.07188865884518057,0.3720930232558139,0.480347694633409,0.05405405405405403,0.18918918918918917,0.020833333333333315,0.1727792112053078,0.30526521441828663,0.3648648648648648,0.4462087641555883
mu18.wav,0.0,0.13793103448275865,0.09090909090909094,0.3548387096774193,0.6483516483516484,0.4411764705882353,0.1694915254237288,0.0,0.0,0.08387970997091616,0.016536019667471966,0.08330216924001457,0.1958917225936207,0.11971830985915494,0.46031746031746035,0.5599999999999998,0.4358974358974359,0.30188679245283023,0.16279069767441864,0.5238095238095238,0.31496062992125984,0.5675174060587549,0.32161645091764957,0.14058316988198805,0.08441558441558439,0.21311475409836067,0.3508771929824561,0.24050632911392403,0.4693877551020409,0.4965034965034964,0.06779661016949153,0.04225352112676059,0.23866461251592697,0.28033236902461295,0.43057950880050094,0.0336292709174065,0.12643946467475878,0.28617216117216115,0.1111111111111111,0.3191489361702128,0.2917833800186741,0.23004370830457782,0.0,0.0,0.027027027027027,0.054054054054054085,1.0,0.36859565057132326,0.40295008303213836,0.44594594594594594,0.5231413096996554
mu19.wav,0.21590909090909088,0.6206896551724139,0.5454545454545454,1.0,0.18681318681318682,0.16911764705882348,0.01694915254237289,0.0,0.0,0.0644701384816584,0.011612988001821006,0.06295809742519592,0.07241044224963822,0.014084507042253502,0.11111111111111116,0.39999999999999997,0.35897435897435903,0.24528301886792456,0.23255813953488377,0.6428571428571428,0.6220472440944882,0.20763900307671967,0.2571450853327172,0.09864588001464013,0.0,0.0,0.07017543859649122,0.189873417721519,0.5102040816326532,0.8041958041958039,0.11864406779661016,0.0,0.0,0.17268977525725449,0.5781098189214294,0.42036588646758133,0.0,0.0,0.0,1.0,0.0,0.12939958592132503,0.11627906976744184,0.0,0.29729729729729726,0.054054054054054085,0.33333333333333337,0.35707703649096945,0.50063495164599,0.6486486486486487,0.7693254554406697
mu20.wav,0.2727272727272727,0.6551724137931034,0.9999999999999999,0.7580645161290321,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028142629381784134,0.22535211267605637,0.3650793650793651,0.27999999999999997,0.4358974358974359,0.28301886792452835,0.2790697674418605,0.45238095238095233,0.2913385826771654,0.6899822886433071,0.2609950367115047,0.10095653989435484,0.1168831168831169,0.11475409836065573,0.15789473684210528,0.24050632911392403,0.7346938775510206,0.4895104895104894,0.11864406779661016,0.0,0.13922133455213756,0.2856922677102538,0.45567404093955144,0.1849609900457358,0.0,0.0,0.0,0.34042553191489355,0.02917833800186742,0.17253278122843338,0.023255813953488358,0.10846560846560849,0.6756756756756755,0.054054054054054085,0.5416666666666667,0.39163287873203095,0.549477385952916,0.6216216216216215,0.6770064007877892
sp1.wav,0.45454545454545453,0.5862068965517242,0.7878787878787878,0.3709677419354838,0.2967032967032967,0.17647058823529407,0.01694915254237289,0.0,0.0,0.07215372174188125,0.013482888453662092,0.06504523242988894,0.061210029656613374,0.4014084507042254,0.2857142857142857,0.35999999999999993,0.17948717948717952,0.11320754716981132,0.06976744186046514,0.19047619047619047,0.4251968503937008,0.9048720458082731,0.7889647649625091,0.6508126810352894,0.3181818181818182,0.3114754098360656,0.28070175438596495,0.1518987341772152,0.2448979591836735,0.18181818181818182,0.06779661016949153,0.3943661971830986,0.8469708474241482,0.8580608568439263,0.47894905582230785,0.016814635458703237,0.05835667600373482,0.05723443223443225,0.07407407407407407,0.10638297872340426,0.23342670401493928,0.20128824476650561,0.441860465116279,0.5578231292517007,0.12162162162162159,0.4054054054054053,0.16666666666666666,0.23037228160707704,0.29305460584155524,0.3243243243243244,0.3692762186115216
sp2.wav,0.5113636363636364,0.37931034482758624,0.2727272727272727,0.32258064516129026,0.3516483516483517,0.19117647058823528,0.2542372881355932,0.0,0.0,0.14139055144089263,0.03499988219928227,0.11604386440012102,0.11577225139272507,0.38732394366197187,0.6984126984126984,0.5199999999999998,0.17948717948717952,0.1320754716981132,0.04651162790697677,0.0952380952380952,0.2362204724409449,0.7575664699057432,0.630624033000654,0.4373453255381847,0.2922077922077922,0.4426229508196722,0.543859649122807,0.30379746835443033,0.10204081632653061,0.09090909090909091,0.05084745762711865,0.2535211267605634,0.73077989860595,0.6413810864735663,0.3586041102946149,0.13451708366962603,0.09726112667289137,0.03815628815628816,0.07407407407407407,0.021276595744680854,0.3209617180205415,0.12939958592132503,0.5116279069767441,0.21693121693121695,0.17567567567567563,0.3243243243243243,0.45833333333333337,0.06911168448212313,0.15873791149750907,0.16216216216216217,0.16925160019694735
sp3.wav,0.8181818181818181,0.5172413793103449,0.8787878787878787,0.3870967741935484,0.18681318681318682,0.007352941176470507,0.0,0.0,0.0,0.010524229840024824,0.0013981770394114884,0.0452528581585524,0.0,0.24647887323943662,0.33333333333333337,0.9199999999999999,0.4871794871794872,0.22641509433962265,0.13953488372093026,0.30952380952380953,0.2598425196850394,0.6849418583055713,0.4621885812645663,0.2559385180290292,0.16883116883116883,0.8360655737704918,0.543859649122807,0.12658227848101267,0.10204081632653061,0.14685314685314682,0.10169491525423728,0.22535211267605637,0.6096326516662431,0.6257030493129524,0.38494579781252836,0.16814635458703253,0.03890445066915654,0.28617216117216115,0.5555555555555555,0.19148936170212766,0.2042483660130719,0.12939958592132503,0.3255813953488372,0.20143613000755858,0.1351351351351351,0.43243243243243235,0.08333333333333331,0.0,0.0,0.0,0.0
sp4.wav,0.6363636363636362,0.103448275862069,0.18181818181818182,0.0967741935483871,0.032967032967033016,0.08088235294117643,0.4915254237288136,0.5666666666666668,0.3846153846153846,0.7961598903636475,0.653934403888924,0.800983299142197,0.5713426001766061,0.6056338028169014,0.15873015873015878,0.0,0.17948717948717952,0.037735849056603765,0.023255813953488372,0.0952380952380952,0.40944881889763785,0.9920123415741731,0.8165474029310884,0.69225341399265,0.7142857142857144,0.03278688524590165,0.052631578947368474,0.037974683544303806,0.06122448979591841,0.06293706293706294,0.15254237288135591,0.3802816901408451,1.0,0.9685495719083428,0.30340788864394763,0.1849609900457358,0.13616557734204793,0.3243284493284493,0.4074074074074074,0.19148936170212766,0.08753501400560224,0.07188865884518057,0.11627906976744184,0.09297052154195014,0.12162162162162159,0.4864864864864864,0.375,0.02303722816070769,0.06105304288365737,0.09459459459459457,0.10770556376169355
sp5.wav,0.22727272727272727,0.3103448275862069,0.45454545454545453,0.6451612903225805,0.34065934065934067,0.20588235294117643,0.11864406779661017,0.13333333333333336,0.0,0.23461137336432053,0.07724260153169235,0.2914622583160265,0.15745020772831525,0.4154929577464789,0.22222222222222224,0.27999999999999997,0.12820512820512822,0.09433962264150944,0.04651162790697677,0.2619047619047619,0.4645669291338582,0.9342568529747947,1.0,1.0,0.3116883116883117,0.29508196721311475,0.28070175438596495,0.11392405063291139,0.040816326530612235,0.19580419580419575,0.10169491525423728,0.5492957746478874,0.9184151044512326,1.0000000000000002,0.5581384514448259,0.10088781275221952,0.06808278867102396,0.3434065934065934,0.2222222222222222,0.04255319148936171,0.11671335200746966,0.23004370830457782,0.4651162790697674,0.24792139077853365,0.09459459459459457,0.3513513513513513,0.22916666666666669,0.04607445632141541,0.08547426003712028,0.10810810810810811,0.153865091088134
sp6.wav,0.3409090909090909,0.9655172413793103,0.5757575757575757,0.8064516129032258,0.2857142857142857,0.022058823529411742,0.033898305084745756,0.0,0.0,0.03214226186126587,0.004879148415175255,0.08170079003985305,0.033481191513747816,0.7676056338028168,0.7936507936507937,0.11999999999999997,0.0,0.0,0.0,0.0,0.0,0.11209613182334505,0.0,0.0,1.0,0.09836065573770494,0.07017543859649122,0.025316455696202528,0.0,0.0,0.0,0.0,0.2641354082772906,0.0,0.009166326653783863,0.3867366155501749,0.05835667600373482,0.019078144078144094,0.37037037037037035,0.3191489361702128,0.11671335200746966,0.0,0.0697674418604651,0.17044595616024188,0.2567567567567567,0.2432432432432432,0.5208333333333334,0.10366752672318466,0.20758034580443496,0.2837837837837838,0.3385032003938947
sp7.wav,0.2954545454545454,0.2758620689655173,0.2727272727272727,0.17741935483870966,0.3186813186813187,0.3308823529411764,0.47457627118644063,0.03333333333333335,0.0,0.21432439023005675,0.06675293593159654,0.19347676681752815,0.22636185498029956,0.5774647887323944,0.5079365079365079,0.4799999999999999,0.25641025641025644,0.18867924528301888,0.09302325581395351,0.11904761904761901,0.055118110236220486,0.4723482629419036,0.16284916804438704,0.04973054311417008,0.564935064935065,0.39344262295081966,0.2982456140350877,0.10126582278481014,0.20408163265306123,0.11188811188811187,0.033898305084745756,0.02816901408450706,0.34689299624044817,0.32594144436869676,0.1838696007704482,0.0336292709174065,0.048630563336445685,0.1526251526251526,0.6296296296296295,0.4680851063829786,0.2917833800186741,0.12939958592132503,0.3720930232558139,0.17044595616024188,0.1351351351351351,0.2432432432432432,0.14583333333333331,0.06911168448212313,0.09768486861385184,0.12162162162162171,0.09231905465288048
sp8.wav,0.10227272727272729,0.41379310344827586,0.21212121212121213,0.3387096774193548,0.2417582417582418,0.3529411764705882,0.6610169491525424,0.0,0.0,0.16318618926670467,0.0435122107647335,0.14385760435873704,0.24165142558395558,0.7676056338028168,0.5396825396825398,0.0,0.0,0.0,0.023255813953488372,0.0952380952380952,0.11023622047244094,0.6929111954676941,0.30917286907517766,0.13195169013659674,0.9285714285714286,0.09836065573770494,0.0,0.012658227848101278,0.10204081632653061,0.034965034965034975,0.05084745762711865,0.04225352112676059,0.4657977295599287,0.36065054370332433,0.0,0.23540489642184556,0.03890445066915654,0.03815628815628816,0.1111111111111111,0.23404255319148937,0.2917833800186741,0.07188865884518057,0.1395348837209302,0.29440665154950874,0.27027027027027023,0.4054054054054053,0.3541666666666667,0.04607445632141541,0.09768486861385184,0.13513513513513514,0.16925160019694735
sp9.wav,0.375,0.20689655172413793,0.03030303030303033,0.032258064516129004,0.07692307692307698,0.06617647058823525,0.6440677966101696,0.6833333333333335,0.8076923076923077,0.9001353742169445,0.8213570029895789,1.0,0.8381919196862648,0.7042253521126761,0.2698412698412699,0.0,0.051282051282051294,0.056603773584905676,0.023255813953488372,0.0952380952380952,0.2755905511811024,0.921684679019127,0.5808178771948858,0.3788010305835827,0.7857142857142858,0.11475409836065573,0.10526315789473686,0.037974683544303806,0.020408163265306145,0.05594405594405594,0.10169491525423728,0.1971830985915493,0.8394726415169868,0.7166532653246934,0.16776933296424867,0.23540489642184556,0.2626050420168067,0.19078144078144077,0.37037037037037035,0.1276595744680851,0.05835667600373484,0.04313319530710834,0.20930232558139533,0.061980347694633425,0.1351351351351351,0.3513513513513513,0.375,0.12670475488389238,0.1709485200742405,0.17567567567567563,0.1846381093057607
sp10.wav,0.625,0.103448275862069,0.09090909090909094,0.048387096774193505,0.0,0.11029411764705879,0.44067796610169496,0.45000000000000007,1.0,1.0,1.0,0.9918339108958318,0.7451397533069646,0.556338028169014,0.09523809523809523,0.040000000000000036,0.07692307692307693,0.11320754716981132,0.11627906976744189,0.0952380952380952,0.4566929133858268,1.0,0.721285827443563,0.554479964341891,0.6493506493506495,0.1639344262295082,0.08771929824561403,0.11392405063291139,0.10204081632653061,0.0769230769230769,0.0847457627118644,0.29577464788732394,0.9144865172589283,0.8043835384086071,0.258020663517766,0.26903416733925206,0.05835667600373482,0.1526251526251526,0.18518518518518517,0.06382978723404256,0.17507002801120447,0.057510927076144455,0.0697674418604651,0.07747543461829176,0.2297297297297297,0.9999999999999998,0.33333333333333337,0.24189089568743094,0.2808439972648238,0.3243243243243244,0.4000492368291483
sp11.wav,0.6022727272727272,0.7241379310344827,0.8484848484848484,0.45161290322580644,0.1318681318681319,0.08088235294117643,0.08474576271186443,0.0,0.0,0.08439534602101356,0.016675809236398734,0.12024605463854589,0.03904837810664924,0.4788732394366197,0.3015873015873016,0.35999999999999993,0.17948717948717952,0.056603773584905676,0.09302325581395351,0.11904761904761901,0.3700787401574804,0.9121227746299476,0.6455684682277016,0.4557145689280423,0.27922077922077926,0.3442622950819672,0.3508771929824561,0.24050632911392403,0.18367346938775514,0.1678321678321678,0.06779661016949153,0.36619718309859156,0.8042124197938425,0.7932093635208618,0.45178408841021056,0.11770244821092278,0.11671335200746964,0.0953907203907204,0.2962962962962963,0.3191489361702128,0.08753501400560224,0.2156659765355417,0.3023255813953488,0.3253968253968254,0.1351351351351351,0.13513513513513514,0.25,0.05759307040176925,0.06105304288365737,0.0675675675675676,0.06154603643525358
